Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3W,RAYON ENGINEERS,0,0,67,135,50,4,27,333,1176,990
3W,RCJ AUTO FORGE PVT LTD,0,0,0,0,0,1,54,281,609,530
3W,RD AND CO,0,0,0,0,0,3,3,9,1,0
3W,RDS INDUSTRIES,0,0,0,0,0,0,0,0,0,110
3W,REDDY AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,4
3W,REEP INDUSTRIES PVT LTD,0,0,0,19,40,5,3397,188,1080,759
LMV,REEP INDUSTRIES PVT LTD,0,0,0,0,2,0,0,1,3,0
3W,REFLEX CONTROL SYSTEM PVT,0,3,22,7,0,2,0,0,0,0
3W,REFLEX CONTROL SYSTEM PVT .LTD,0,0,40,197,112,53,41,63,96,42
2W,REGENERATION E BIKES,0,0,0,0,0,0,0,0,0,6
2W,RENAULT INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,RENAULT INDIA PVT LTD,0,0,14,0,0,0,0,0,0,0
LMV,RENAULT INDIA PVT LTD,2,1,0,0,0,0,0,0,2,0
3W,REPUBLIC MOTORS,0,0,7,84,54,44,105,119,237,143
LMV,REPUBLIC MOTORS,0,0,0,0,0,0,1,0,0,0
3W,REPUBLIC PVT.LTD.,0,0,1,1,0,0,0,0,0,0
LMV,REVA ELECTRIC CAR CO,5,1,26,19,0,0,0,0,0,0
2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,480,2098,4704,14910,6976,4650
2W,RGM BUSINESS PLUS PVT LTD,0,0,0,0,0,0,408,1564,822,176
3W,RIBAND ELECTRIC PVT LTD,0,0,0,0,0,0,18,200,496,223
3W,RICHFORD ALLIANZ PVT LTD,0,0,0,0,0,0,0,0,0,162
2W,RIVER MOBILITY PVT LTD,0,0,0,0,0,0,0,0,92,1134
3W,RIYA ENTERPRISE,0,0,0,1,10,5,2,31,31,5
3W,ROANSOME MOTORS,0,0,0,0,0,0,0,0,4,65
3W,ROARLEO MOTOR PVT LTD,0,0,0,59,88,52,43,136,338,180
LMV,ROLLS ROYCE,0,0,0,0,0,0,0,0,0,1
LMV,ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),0,0,0,0,0,0,0,0,1,3
LMV,ROLLS-ROYCE MOTOR CARS(IMPORTER:SELECT CARS P LTD),0,0,0,0,0,0,0,0,0,2
2W,ROWWET MOBILITY PVT LTD,0,0,0,0,0,1,60,143,68,260
2W,ROYAL-ENFIELD (UNIT OF EICHER LTD),56,34,4,1,1,0,0,0,0,0
3W,ROYAL-ENFIELD (UNIT OF EICHER LTD),0,0,1,0,0,0,0,0,0,0
LMV,ROYAL-ENFIELD (UNIT OF EICHER LTD),1,0,0,0,0,0,0,0,0,0
3W,ROYCE EV PVT LTD,0,0,0,0,0,0,0,0,0,246
3W,RP MOTORS,0,0,0,0,0,0,0,0,32,107
3W,RSD SECURITY SOLUTIONS PVT LTD,38,101,309,270,377,87,11,1,1,0
3W,RUDRA AUTO INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,RUTBA PRODUCT PVT LTD,0,0,10,328,492,275,415,518,629,405
3W,S AND J INDUSTRIES,0,0,0,79,140,62,49,189,126,44
3W,S B TRADERS,0,0,0,0,0,0,0,0,29,83
3W,S E ASIA CO,0,0,0,1,2,0,0,0,0,0
LMV,S J TRAILORS,0,0,7,0,0,0,0,0,0,0
LMV,"S M TRACTOR TRALERS, SHAHAPUR",0,0,2,0,0,0,0,0,0,0
3W,S S GLOBAL,0,0,0,45,106,79,61,11,6,26
3W,S.M. LTD.,0,0,1,0,0,0,0,0,0,0
3W,S.P. ELECTRONICS,0,0,3,6,0,0,0,0,0,0
3W,S.S.AGRO TECH,0,0,10,1,0,0,0,0,0,0
3W,S.V AUTOMOTIVE,0,212,409,209,59,15,9,0,0,0
3W,SAATHI TRADING CO,0,0,2,0,0,0,0,0,0,0
3W,SAERA ELECTRIC AUTO PVT LTD,140,1203,1532,3226,5080,4153,7098,19314,29321,16408
LMV,SAERA ELECTRIC AUTO PVT LTD,0,0,1,2,0,1,0,0,1,0
MMV,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,1,0
LMV,SAGAR AGRO INDUSTRIES,1,0,0,0,0,0,0,0,0,0
3W,SAGAR FABRICATIONS,0,0,0,0,0,0,0,16,10,17
3W,SAGAS AUTOTIC PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,SAHKAR AGRO IND,0,0,1,0,0,0,0,0,0,0
3W,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,0,0,1133,5788,5074
2W,SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,22,7
3W,SAIFIAN SOLAR PVT LTD,0,0,0,0,0,0,0,0,0,29
3W,SAINIK CYCLE MART,0,0,0,0,0,0,7,142,36,11
3W,SAKSHAM TECH AUTO,0,0,26,2,0,0,0,0,0,0
3W,SAKSHAM TECH AUTOMOBILES,0,0,0,55,35,2,6,241,175,65
3W,SAKSHAM TRADING COMPANY,0,181,272,354,243,81,31,17,4,97
LMV,SAKTHI VIJAY INDUSTRIES,0,0,1,0,0,0,0,0,0,0
LMV,SAKTHI VINAYAKA ENGINEERING WORKS,0,0,2,0,0,0,0,0,0,0
2W,SAME DEUTZ - FAHR INDIA (P) LTD.,0,1,0,0,0,0,0,0,0,0
3W,SAME DEUTZ - FAHR INDIA (P) LTD.,0,1,2,0,0,0,0,0,0,0
3W,SAMEER ENGINEERING,0,0,0,0,16,3,2,0,5,21
3W,SAMRAT ELECTRIC VEHICLE,0,0,1,13,59,20,37,353,677,386
3W,SAN MOTORS LIMITED,0,0,1,0,0,0,0,0,0,0
3W,SANCHAL AUTOMOBILES PVT LTD,0,0,0,0,56,22,0,0,0,0
3W,SANT ENGG WORKS,0,0,11,0,0,0,0,0,0,0
3W,SARAVANA ENGINEERING WORKS,0,0,0,0,0,0,0,0,204,4
LMV,SARAVANA TRAILER,0,0,1,0,0,0,0,0,0,0
3W,SAS MOTORS LTD.,7,13,4,0,0,0,0,0,0,0
3W,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,10,233,182,341,565,1310,2831,2169
3W,SAURYAA SHARYO CORPORATION,0,4,12,2,0,0,0,1,2,0
2W,SBTEK E MOTO PVT LTD,0,0,0,0,0,14,46,19,22,8
3W,SCOOTERS INDIA LTD,0,0,1,0,0,5,4,5,1,1
3W,SEALION AUTOMOBILE PVT LTD,0,0,0,0,14,13,22,36,36,13
2W,SEEKA E MOTORS PVT LTD,0,0,0,0,0,0,0,0,3,12
3W,SEN AND PANDIT VOLTAGE CONTROL PVT LTD,0,0,0,40,54,28,23,55,54,37
3W,SETH INDUSTRIAL CORPORATION,0,0,0,32,79,59,130,401,911,700
3W,SETHJI INDUSTRIES,0,0,88,50,6,6,4,0,0,0
3W,SF2 E VEHICLE PVT LTD,0,0,0,0,0,0,0,16,49,14
3W,SGL INDUSTRIES,0,0,0,0,0,1,0,0,0,0
3W,SGLLINE MOTORS PVT LTD,0,0,0,63,28,49,28,60,31,23
MMV,SHAH AGRO ENGG WORKS,1,0,0,0,0,0,0,0,0,0
3W,SHAILENDRA AUTOS PVT LTD,0,0,0,0,0,0,0,0,40,91
3W,SHAKTI AUTO GREEN,0,0,63,155,188,191,281,415,787,522
3W,SHAKTIMAN AGRO INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,SHALYA AUTO SALES PVT LTD,0,0,0,0,0,0,0,213,617,360
3W,SHAMMI ELECTRONICS,0,0,0,0,0,0,0,0,28,21
2W,SHEMA E- VEHCILE & SOLAR PVT LTD,0,0,0,0,0,0,0,0,0,1568
3W,SHERA ELECTRICAL AUTO PVT LTD,0,12,11,20,1,1,0,0,0,0
3W,SHIGAN EVOLTZ LTD,0,82,352,565,950,452,505,853,431,145
LMV,SHIGAN EVOLTZ LTD,0,0,0,1,1,0,9,0,0,0
3W,SHINE METAL UDYOG PVT LTD,0,0,19,9,0,0,0,0,0,0
3W,SHINE METAL UDYOG PVT LTD (UNIT- II),0,0,30,92,61,8,10,5,110,138
3W,SHINME ELECTRICAL VEHICLE PVT LTD,0,0,0,0,0,0,0,91,120,72
3W,SHIV ENTERPRISES,0,0,0,0,0,0,0,0,0,72
3W,SHIV OM INDIA,0,0,633,582,209,40,23,69,197,151
LMV,SHIV TRAILOR INDUSTRIES,0,2,2,0,0,0,0,0,0,0
3W,SHIVA ENTERPRISES,0,0,0,0,0,0,0,0,0,65
3W,SHIVGANGA ECOGREEN LLP,0,0,0,0,0,0,0,0,0,35
3W,SHREE MARUTI NANDAN BUSINESSS (P) LTD,0,0,0,33,69,14,17,181,307,98
3W,SHREE SIRIDI SAI MINERAL & EXPORTS PVT. LTD,0,0,44,39,0,0,0,0,0,0
3W,SHREYA ENGINEERS,0,0,0,2,14,13,43,13,9,3
LMV,SHRI ABIRAMI TRAILERS,2,2,5,8,0,0,0,0,0,0
MMV,SHRI ABIRAMI TRAILERS,0,1,0,0,0,0,0,0,0,0
LMV,SHRI ANGAMMAL ENGINEERING WORKS,0,0,2,0,0,0,0,0,0,0
LMV,SHRI ARUPADAYAN TRAILERS,0,1,0,0,0,0,0,0,0,0
3W,SHRI BALAJI ENTERPRISES,0,0,0,175,84,0,1,0,0,0
LMV,SHRI BANASHANKARI ENG WORKS,0,1,0,0,0,0,0,0,0,0
2W,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,0
3W,SHRI BARSANA E-VEHICLES PVT LTD,0,0,49,575,794,433,645,1554,4086,3224
LMV,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,0,1,2,0
3W,SHRI CHAMUNDI MOPEDS,0,6,2,0,0,0,0,0,0,0
3W,SHRI CHINNAMMAN ENGG. WORKS    ,0,1,1,0,0,0,0,0,0,0
LMV,SHRI CHINNAMMAN ENGG. WORKS    ,0,0,0,1,0,0,0,0,0,0
LMV,SHRI DEVIKA TRAILERS,1,1,0,0,0,0,0,0,0,0
LMV,SHRI GANAPATHY ENGG. WORKS,2,1,1,1,0,0,0,0,0,0
LMV,SHRI GANESH TRAILER,1,0,0,0,0,0,0,0,0,0
LMV,SHRI JYOTHI ENG. WORKS.,0,1,0,0,0,0,0,0,0,0
LMV,SHRI KANAGA TRAILERS TANKAR,0,1,0,0,0,0,0,0,0,0
LMV,SHRI KUMAR TRAILERS EQUIPMENTS,0,0,2,0,0,0,0,0,0,0
LMV,SHRI LAKSHMI LATHE WORKS,6,11,8,5,0,0,0,0,0,0
LMV,SHRI LAXMI ENGINEERING WORKS,0,1,0,0,0,0,0,0,0,0
LMV,SHRI MODERN TRAILERS,0,0,2,0,0,0,0,0,0,0
3W,SHRI NAMO ELECTRIC AUTOMOTIVE,0,0,131,238,269,170,214,264,645,395
3W,SHRI RAM AUTO TECH PVT LTD,35,469,127,26,0,0,0,4,3,0
3W,SHRI RAM AUTOMOBILES,0,23,17,2,0,0,0,0,0,0
3W,SHRI RAM INDUSTRIES,0,0,0,1,0,0,0,0,0,0
LMV,SHRI SAKTHI VINAYAKA TRAILERS,0,0,3,0,0,0,0,0,0,0
3W,SHRI SHIVSHANKAR ENTERPRISES,0,0,0,0,5,4,2,8,0,0
LMV,SHRI VAIRAMUTHU TRAILERS,0,2,2,0,0,0,0,0,0,0
LMV,SHRI VENKATESHWARA TRAILOR,1,0,0,1,0,0,0,0,0,0
3W,SHRIRAJ ELECTRIC VEHICLES,0,0,0,40,17,158,1318,2003,2726,1240
3W,SHRIRAM ASTRAL MOTOR CO,0,0,0,0,6,4,0,0,0,0
3W,SHUBHAM MANUFACTURER,0,0,0,0,0,0,0,0,6,13
3W,SIARSA ELECTRICALS PVT LTD,0,0,13,28,21,0,0,0,0,0
LMV,SIDHI DURGA ENGINEERING,0,0,0,2,0,0,0,0,0,0
2W,SIMPLEENERGY PVT LTD,0,0,0,0,0,0,0,0,65,568
LMV,SINDHU MOTORS,0,1,0,0,0,0,0,0,0,0
3W,SINGH AUTOMOBILES,0,0,0,0,0,0,0,0,359,322
3W,SINGHAL ENTERPRISES,0,0,0,96,97,42,46,38,136,63
3W,SIRF INDIA VEHICLES PVT LTD,0,0,0,24,45,44,24,5,27,53
3W,SITYOG ENGINEERING PVT LTD,0,0,0,0,0,15,1,0,5,2
LMV,SIVA ENGINEERING WORKS,0,1,0,0,0,0,0,0,0,0
LMV,SIVASAKTHI ENGINEERING WORKS,0,1,0,0,0,0,0,0,0,0
3W,SIWACH STEEL PVT LTD,0,24,285,331,188,42,47,98,24,8
3W,SIX SENSES AUTOMOTIVE PVT LTD,0,0,0,0,63,8,0,4,12,33
3W,SKS AUTOMOBILES (I) PVT LTD,0,0,20,0,0,0,0,5,2,0
3W,SKS TRADE INDIA PVT LTD,0,0,203,770,1354,854,2236,6308,10078,5687
LMV,SKS TRADE INDIA PVT LTD,0,0,0,0,3,0,0,0,0,1
3W,SKYRIDE AUTOMOTIVE,0,301,344,285,447,393,520,90,40,14
3W,SKYY RIDER ELECTRIC PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,143
2W,SMAP VEHICLES (IMPORTER: ELEGO MOTORS),0,0,0,0,0,0,0,0,15,2
3W,SMART ELECTRO MOTORS,0,0,4,23,25,31,38,48,47,44
3W,SMARTOMATIC VEHICLES PRIVATE LIMITED,0,0,0,0,0,0,0,0,2,0
3W,SMITH MOTORS PVT LTD,0,0,0,0,0,0,0,0,4,0
3W,SML ISUZU LTD,0,1,17,0,0,0,0,0,0,0
LMV,SML ISUZU LTD,0,4,0,0,0,0,0,0,0,0
MMV,SML ISUZU LTD,1,0,0,0,0,0,0,0,0,0
3W,SN SOLAR ENERGY,0,0,0,61,121,28,44,23,187,244
2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,0,0,0,0,0,0,132,232
3W,SONI E VEHICLE PVT LTD,0,41,109,380,320,41,74,173,64,22
LMV,SONI E VEHICLE PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,SONI E VEHICLES PVT LTD,44,252,138,13,0,0,0,0,0,0
3W,SPEED AUTO TECH,0,0,0,0,0,0,0,8,87,20
3W,SPEEDWAYS ELECTRIC,0,0,85,64,19,11,3,1,5,2
3W,SPEEDWAYS ELECTRIC PVT LTD,0,14,11,0,0,0,0,0,0,0
3W,SPEEGO VEHICLES CO PVT LTD,0,33,427,900,913,891,1877,3734,4770,2228
3W,SPEEGO VEHICLES PVT. LTD,227,287,164,15,0,13,73,131,12,0
3W,SRD RENEWABLES,0,0,0,5,162,113,481,1222,2121,941
LMV,SRI RAMA TRAILERS,1,0,0,0,0,0,0,0,0,0
3W,SRI SAI MARKETING,0,1,0,0,0,0,0,0,0,0
2W,SRIVARU MOTORS PVT LTD,0,0,0,0,0,0,77,60,24,0
3W,SSB INDISTRIES,0,0,69,141,391,311,603,1746,2248,1021
3W,SSEV ENTERPRISES PRIVATE LIMITED,0,0,0,0,0,0,0,340,767,620
3W,SSV TECHNOLOGIES,0,0,0,0,0,0,0,2,0,1
3W,STANDARD CORPORATION INDIA LTD,0,0,3,0,0,0,0,0,0,0
3W,STAR BULL E MOTORS,0,0,0,185,361,257,434,2217,2077,1133
3W,STAR IGLOBAL AUTOMOTIVE PVT LTD,0,0,0,0,0,12,81,211,570,315
3W,STAR INDUSTRIES,0,0,0,0,0,0,0,0,0,47
3W,SUCCESSPATH MARKETING PVT LTD,0,17,30,6,0,0,0,0,0,0
3W,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,0,0,0,0,0,0,0,11,175,223
3W,SUGANJI RARA ELECTRIC VEHICLE PVT LTD,0,0,0,2,0,18,10,4,0,0
2W,SUMEC CO LTD (IMPORTER: ROUTE & MARS EV LLP),0,0,0,0,0,0,0,0,0,1
3W,SUMFONL AUTO TRADERS PVT LTD,0,0,9,197,345,216,78,77,286,162
3W,SUN AUTO,0,0,0,0,0,0,0,0,0,2
3W,SUN INDUSTRIES,0,0,0,0,0,0,0,0,0,207
3W,SUN MOTORS,1,3,7,4,0,0,0,0,0,0
3W,SUN MOTORS PVT LTD,0,0,6,0,0,0,0,0,0,0
3W,SUN SHINE ENGINEERING WORKS,0,1,1,0,0,0,0,0,0,0
3W,SUNANDA GREENTECH PVT LTD,0,0,0,0,0,0,0,0,11,112
3W,SUNARIYA MOTORS PVT LTD,0,0,0,0,0,0,0,0,36,31
3W,SUNKU AUTO LTD,0,0,6,0,0,0,0,0,0,0
3W,SUNLECTRA AUTO,0,0,0,0,0,0,1,0,0,0
3W,SUNSHINE TECHNOLOGIES,0,0,0,0,17,0,0,0,2,7
3W,SUNULTRA POWER SOLUTIONS PVT LTD,0,0,0,0,0,9,28,82,142,52
3W,SUPER METRO INDUSTRIES,0,0,0,0,0,1,94,1006,1198,538
3W,SUPER POWER MOTORS,0,0,0,0,0,0,0,0,2,107
2W,SUPERECO AUTOMOTIVE CO,0,0,0,1,0,7,8,14,128,15
3W,SUPERECO AUTOMOTIVE CO,1,8,325,700,444,157,134,55,134,71
3W,SUPERECO AUTOMOTIVE CO LLP,0,1,47,5,0,2,0,0,1,0
3W,SUPERTECH EV LIMITED,0,0,3,111,82,116,356,1038,2020,1390
LMV,SUPERTECH EV LIMITED,0,0,0,0,0,0,0,0,0,1
3W,SUPREME SALES AGENCY,0,0,0,0,0,0,0,0,0,50
3W,SUPREME SMART POWER PVT LTD,0,0,0,0,0,0,64,244,434,219
3W,SUPROVA ENTERPRISE,0,0,0,0,0,2,0,0,4,3
3W,SURYA INTERNATIONAL,0,0,0,0,0,0,0,0,16,13
LMV,SURYA TRAILORS AND TANKERS,1,2,0,0,0,0,0,0,0,0
2W,SUZUKI MOTORCYCLE INDIA PVT LTD,17,24,20,2,1,0,0,9,0,0
3W,SUZUKI MOTORCYCLE INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,SVS ENTERPRISES,0,0,0,0,0,0,0,0,84,17
3W,SWADESHI INDUSTRIES,0,0,0,19,18,0,0,0,0,0
3W,SWARNCHAKRA AUTOMOBILES PVT LTD,0,0,0,0,0,0,15,7,5,4
3W,SWASTIK,0,0,0,0,27,40,0,0,0,1
LMV,SWITCH MOBILITY AUTOMOTIVE LTD,0,0,0,0,0,0,0,1,0,84
3W,SYNDICATE AUTO COMPONENTS,0,0,0,0,11,13,58,227,77,51
3W,T U K INDUSTRIES,0,0,0,2,145,161,326,1240,2845,1948
3W,TAFE LIMITED,0,0,1,0,0,0,0,0,0,0
LMV,TAFE LIMITED,0,1,0,1,0,0,0,0,0,0
3W,TAMILNADU MOPEDS LTD,0,0,0,1,0,0,0,0,0,0
3W,TAO POWER PRIVATE LIMITED,0,0,0,0,0,0,0,6,11,3
3W,TARA MAA MACHINERY,0,0,0,0,0,0,0,0,26,54
2W,TATA MOTORS LTD,0,2,0,0,0,0,0,0,0,0
3W,TATA MOTORS LTD,0,0,1,0,0,0,0,0,0,1
LMV,TATA MOTORS LTD,9,10,3,144,419,2717,10033,1621,1766,3076
MMV,TATA MOTORS LTD,1,0,4,4,119,26,253,15,275,5
LMV,TATA MOTORS PASSENGER VEHICLES LTD,0,0,0,0,0,0,0,30610,21420,490
LMV,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,0,0,0,0,0,38580,35830
3W,TAURUS ELECTRIC VEHICLES,0,0,0,0,35,24,76,234,346,170
3W,TEJASGREEN AUTOMOTIVE PVT LTD,0,0,0,24,141,16,7,42,1,0
LMV,TELSA INC,0,0,0,0,0,0,1,0,0,0
3W,TEREX CORPORATION,0,15,6,1,0,0,0,0,0,0
3W,TERRA MOTORS INDIA PVT LTD,0,64,893,2704,3545,2631,3404,7876,8810,4959
LMV,TERRA MOTORS INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,THE COMMERCIAL MOTORS LIMITED,0,0,0,0,32,14,38,79,58,4
LMV,THE COMMERCIAL MOTORS LIMITED,0,0,0,0,1,0,0,0,0,0
3W,THE COMMERCIAL MOTORS PVT LTD,0,0,0,0,0,0,0,0,8,10
2W,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,1,48,8
3W,THUKRAL ELECTRIC BIKES PVT LTD,326,1493,1825,2850,3303,1986,3895,5915,7271,3924
3W,TI CLEAN MOBILITY PVT LTD,0,0,0,0,0,0,0,1,1273,3139
3W,TOP TEAM MACHINES PVT LTD,0,14,58,919,1103,869,943,1382,1743,809
2W,TORK MOTORS PVT LTD,0,0,0,0,0,1,0,319,1589,931
3W,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,1,0,0,0,0,0,0
LMV,TOYOTA KIRLOSKAR MOTOR PVT LTD,19,24,12,28,3,0,6,1,0,0
LMV,TOYOTA MATERIAL HANDLING INDIA PVT LTD,0,0,0,0,1,0,3,0,0,0
3W,TRANSVAHAN TECHNOLOGIES INDIA PVT LTD,0,0,0,0,9,0,0,0,0,0
3W,TRINITY ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,2,13,9,57,120
3W,TRISHIKA INDUSTRIES,0,0,0,11,108,146,416,1355,1361,422
3W,TRUPART AUTOMOTIVE INDIA PVT LTD,0,0,2,71,61,10,2,0,10,1
3W,TRUZ INDUSTRIES,0,0,0,5,6,0,0,0,3,4
3W,TSM ENGINEERING PVT LTD,0,5,42,47,26,5,0,7,296,227
3W,TSR TRADE COM,0,0,0,0,10,35,35,29,30,9
3W,TUFAN MOTORS PVT LTD,0,0,0,0,208,82,193,391,987,460
2W,TUNWAL E MOTORS PVT LTD,0,0,0,0,0,0,1,58,44,16
2W,TVS MOTOR COMPANY LTD,165,171,69,23,30,233,5258,47182,166580,98516
3W,TVS MOTOR COMPANY LTD,2,6,6,3,0,0,0,5,97,99
3W,TWASHTRE AUTOMOTIVE PVT LTD,0,0,0,0,19,4,6,6,11,6
3W,TWINKLE TRADCOM PVT LTD,0,4,357,356,448,454,311,476,1505,449
3W,TWO FRIENDS AUTO ELECTRIC CO,0,0,0,260,368,289,940,2724,3848,2002
2W,TYST DRIVE INDIA PVT LTD,0,0,0,0,0,2,25,40,31,6
3W,U P TELELINKS LTD,22,210,135,1,4,0,0,15,3,0
3W,U V MOTORS INDIA PVT LTD,0,0,0,45,34,16,0,0,0,0
3W,U.P. TELELINKS LIMITED,0,299,791,581,656,304,499,1978,2438,1760
LMV,U.P. TELELINKS LIMITED,0,0,0,0,0,0,0,1,2,0
2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,256,69
3W,UMA  AUTO INDUSTRIES PVT. LTD,0,3,23,126,41,2,1,34,137,50
3W,UMA AUTO INDUSTRIES PVT LTD,0,1,0,6,1,0,0,0,0,0
3W,UMA MOTORS,0,0,0,26,99,37,72,191,211,125
3W,UNIC,0,0,13,0,0,0,0,0,0,0
3W,UNICORN DIGITAL SYSTEMS PVT LTD,0,0,1,2,1,0,3,0,0,0
3W,UNIQUE AUTO ELECTRIC,0,0,0,0,0,0,0,0,26,874
3W,UNIQUE ENTERPRISES,0,0,1,174,313,185,778,1671,3580,2132
3W,UNIQUE INTERNATIONAL,0,0,266,1515,2125,1776,3988,10246,13572,8121
LMV,UNIQUE INTERNATIONAL,0,0,0,0,0,0,0,3,3,0
3W,UNITED AUTO TRACTORS LTD      ,0,1,0,0,0,0,0,0,0,0
3W,UNITED TRANSMOVERS PVT LTD,0,0,42,657,788,291,226,321,272,194
3W,UNIVERSAL LTD,0,0,0,3,0,0,0,0,0,0
3W,URWASHI ENTERPRISES,0,0,0,0,0,0,0,156,355,208
3W,USHASONS AUTO COMPONENTS,0,0,0,0,0,0,0,0,0,17
3W,V V A ELECTRIC VEHICLE,0,36,0,0,0,0,0,0,0,0
3W,V.T. ENGINEERING,0,0,50,258,197,82,59,59,9,0
3W,V.T.ENGINEERING,0,0,3,1,0,0,0,0,0,0
3W,V.V.A.AUTO INDUSTRIES PVT.LTD,0,6,3,113,103,152,78,72,26,3
3W,VAHAK FUTURE SOLUTIONS LLP,0,0,0,0,0,0,12,17,23,89
3W,VANI ELECTRIC VEHICLES PVT LTD,0,0,211,1996,3217,3083,3924,5969,7832,4577
3W,VARIOUS INNOVATIVE SYSTEMS HYBRID NANO UTILITIES,0,0,0,1,4,1,0,0,0,0
3W,VAUXHALL MOTORS LTD,0,1,3,0,0,0,0,0,0,0
3W,VE COMMERCIAL VEHICLES LTD,0,9,12,0,0,0,0,0,0,0
LMV,VE COMMERCIAL VEHICLES LTD,0,0,0,0,0,0,0,0,6,27
MMV,VE COMMERCIAL VEHICLES LTD,0,0,0,3,0,0,0,7,0,0
3W,VEANCO AUTOMOTIVES PVT LTD,0,0,0,0,0,0,1,6,11,3
LMV,VEANCO AUTOMOTIVES PVT LTD,0,0,0,0,0,0,1,0,0,0
3W,VEECTERO E VEHICLES LLP,0,0,0,9,38,22,24,132,171,59
MMV,VEERA VAHANA UDYOG PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,8
3W,VEHICLE FACTORY JABALPUR,0,5,22,0,0,0,0,0,0,0
3W,VENUS AUTO INDUSTRIES         ,0,2,3,0,0,0,0,0,0,0
3W,VENUS AUTO WHEELS PVT LTD,0,1,282,329,306,212,329,398,574,204
3W,VGLAN BUILDCON PRIVATE LIMITED,0,4,10,8,39,1,27,0,0,0
3W,VGLAN BUILDCON PVT LTD,4,4,8,4,0,0,0,0,0,0
LMV,VGLAN BUILDCON PVT LTD,0,0,13,15,0,0,0,0,0,0
3W,VIBGYOR  VEHICLES LIMITED,0,0,1,0,0,0,0,0,0,0
3W,VICTOR AGRO INDUSTRIES,0,49,79,7,0,0,0,0,0,0
LMV,VICTOR AGRO INDUSTRIES,2,0,0,0,0,0,0,0,0,0
3W,VICTORIA E VEHICLES PVT. LTD,0,0,59,59,15,2,1,10,25,2
3W,VICTORY ELECTRIC INTERNATIONAL,107,846,1466,2381,1971,858,1243,2135,3319,1402
LMV,VICTORY ELECTRIC INTERNATIONAL,0,2,3,1,1,0,0,0,0,0
3W,VIJAYA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,35,193,256,138
3W,VIJAYALAKSHIMI ENGG WORKS,0,0,1,0,0,0,0,0,0,0
3W,VIJAYS COOLMAX PRIVATE LIMITED,0,0,0,0,0,0,26,1355,4807,3091
3W,VIJAYSHREE AUTOCOM LIMITED,0,0,0,0,0,0,67,248,181,142
3W,VIJEX STEEL FABRICATION,0,0,0,0,0,0,0,0,11,22
3W,VIMAL UNIVERSAL TRADE PVT LTD,0,0,0,74,183,74,130,407,831,704
LMV,VINAYAK INDUSTRIES,0,0,11,0,0,0,0,0,0,0
3W,VINCI INDUSTRIAL CORPORATION,0,0,0,0,16,34,12,9,39,37
2W,VINTAGE VEHICLES,0,0,0,0,0,0,0,0,0,1
3W,VISHAL ENTERPRISES,0,0,0,0,0,34,100,140,36,20
3W,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,0,0,1,92,22
3W,VISHWAKARMA GNG INDUSTRY,0,0,0,35,30,19,3,6,123,162
3W,VISHWARUP ENTERPRISE,0,0,0,0,4,0,0,2,10,2
LMV,VISHWAS TRAILER WELD WORK,0,0,1,0,0,0,0,0,0,0
3W,VITAN JAGADA AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,2,3,2
3W,VOLKSWAGEN INDIA PVT LTD,1,1,1,0,0,0,0,0,0,0
LMV,VOLKSWAGEN INDIA PVT LTD,0,2,1,0,0,0,0,0,0,0
3W,VOLMAC ENGINEERING PVT LTD,0,3,26,30,16,2,0,0,0,0
3W,VOLTAIC INDUSTRIES PVT LTD,0,0,0,21,5,6,0,0,0,0
LMV,VOLTAS LIMITED,0,2,2,0,0,1,0,0,0,0
